Paso,Decision,Evidencia,Filas,Nulos,Retencion (%)
00,Carga del dataset original en una copia de trabajo.,Se preserva data/raw sin modificar.,8160,753,100.0
01,Eliminacion de duplicados exactos.,Se eliminaron 126 filas repetidas linea por linea.,8034,753,98.46
02,Resolucion de user_id repetidos con ranking de calidad.,Se quitaron 34 filas excedentes conservando el registro mas confiable por usuario.,8000,743,98.04
03,Estandarizacion de categorias equivalentes.,"Se unificaron variantes de plan, pais y genero favorito para evitar grupos duplicados por escritura.",8000,743,98.04
04,Conversion de valores imposibles a nulos.,"Se marcaron como nulos edades fuera de 13-100, consumos negativos, tickets negativos y fechas invalidas/futuras.",8000,1019,98.04
05,"Imputacion de nulos con medianas, modas y fecha mediana.",La base queda sin nulos y los reemplazos se apoyan en segmentos cuando es posible.,8000,0,98.04
06,Winsorizacion superior de consumo mensual y tickets.,"Se aplico cap en percentil 99: watch_time=3628.4, tickets=5.",8000,0,98.04
07,Normalizacion final de tipos y exportacion.,Se exporta el dataset procesado con las mismas columnas originales.,8000,0,98.04
